ZoneGéographique/Année;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Afrique du Nord;47233;56014;69031;76716;84049;91092;87280;90118;89789;90153;94789;98090;102007
Afrique Francophone;97568;100092;104180;101566;102349;110657;100497;107150;108521;112441;116862;117378;119723
Afrique Non Francophone;11640;12092;12934;13621;14033;15916;15605;16602;16875;17475;18621;18796;18790
Proche et Moyen-Orient;74063;82786;90776;92954;96653;104676;107923;121558;127232;133769;136679;136394;137441
Asie-Océanie;52940;58423;64785;67564;73531;86160;85238;94035;99080;105365;116729;120027;125057
Europe hors UE;131724;142528;156120;160140;155951;160046;164059;171093;177301;178876;190283;193920;199738
Union Européenne;393288;438648;487408;495570;495845;537980;509105;553359;572072;586827;620209;625206;627911
Amérique Centrale-Sud;63208;68972;72255;77756;79255;83823;80773;87980;90694;92633;97117;97425;99471
Amérique du Nord;127119;140304;162920;167342;166862;183638;175607;185151;188065;186462;202014;203818;212815
Total;998783;1099859;1220409;1253229;1268528;1373988;1326087;1427046;1469629;1504001;1593303;1611054;1642953
